text,label
Stanford University opens new public library in Riyadh,0
Experts 'warn' eating one banana a day could end the economy as we know it,1
Egypt and neighboring country sign agreement on the economy,0
Researchers at MIT publish peer-reviewed study on cryptocurrency,0
the World Bank opens new public library in Tokyo,0
Brazil and neighboring country sign agreement on the economy,0
SHOCKING: the drinking lemon water secret that banks don't want you to know,1
Stanford University releases annual report on literacy rates,0
Japan and neighboring country sign agreement on vaccines,0
Scientists 'confirm' eating one banana a day will destroy artificial intelligence by 2028,1
Kenya and neighboring country sign agreement on vaccines,0
Kenya reports 21 percent change in unemployment for Q2,0
the local council opens new metro line in Berlin,0
the Ministry of Health opens new research center in Berlin,0
Scientists 'confirm' 5G towers will destroy cryptocurrency by 2028,1
Scientists 'confirm' a secret government chip will destroy climate change by 2035,1
SHOCKING: the drinking lemon water secret that the government don't want you to know,1
Canada and neighboring country sign agreement on space travel,0
MIT releases annual report on exports,0
BREAKING: airlines caught hiding insider trading from the public,1
SHOCKING: the a secret government chip secret that big pharma don't want you to know,1
the university rowing team wins the league final after a closely contested match,0
Scientists 'confirm' drinking lemon water will destroy vaccines by 2028,1
Scientists 'confirm' drinking lemon water will destroy artificial intelligence by 2028,1
Scientists 'confirm' a secret government chip will destroy the economy by 2035,1
You won't believe what a famous actor did to cryptocurrency last night,1
the local council opens new public library in Cairo,0
City council in Cairo approves budget for children's hospital expansion,0
Japan and neighboring country sign agreement on climate change,0
Leaked memo 'proves' big pharma is behind a secret lab,1
City council in Tokyo approves budget for public library expansion,0
Egypt reports 9 percent change in literacy rates for the fiscal year,0
SHOCKING: the eating one banana a day secret that the government don't want you to know,1
MIT opens new children's hospital in Berlin,0
Researchers at the World Bank publish peer-reviewed study on the economy,0
Leaked memo 'proves' doctors is behind a hidden merger,1
Germany reports 21 percent change in literacy rates for the fiscal year,0
Researchers at the Ministry of Health publish peer-reviewed study on climate change,0
the Ministry of Health releases annual report on renewable energy output,0
the Ministry of Health releases annual report on literacy rates,0
the Ministry of Health announces new policy on climate change,0
SHOCKING: the eating one banana a day secret that airlines don't want you to know,1
Scientists 'confirm' 5G towers will destroy cryptocurrency by 2030,1
Brazil reports 13 percent change in exports for Q1,0
the World Bank announces new policy on the economy,0
Scientists 'confirm' 5G towers will destroy vaccines by 2035,1
Experts 'warn' a full moon could end vaccines as we know it,1
Researchers at the Ministry of Health publish peer-reviewed study on artificial intelligence,0
Researchers at the Ministry of Health publish peer-reviewed study on the economy,0
5 shocking facts about space travel that will blow your mind,1
City council in Cairo approves budget for public library expansion,0
Scientists 'confirm' a full moon will destroy cryptocurrency by 2027,1
BREAKING: big pharma caught hiding a secret lab from the public,1
Brazil and neighboring country sign agreement on space travel,0
Experts 'warn' a secret government chip could end cryptocurrency as we know it,1
SHOCKING: the drinking lemon water secret that big pharma don't want you to know,1
Scientists 'confirm' eating one banana a day will destroy climate change by 2028,1
City council in Toronto approves budget for recycling plant expansion,0
MIT announces new policy on space travel,0
City council in Toronto approves budget for public library expansion,0
Scientists 'confirm' a full moon will destroy climate change by 2035,1
Leaked memo 'proves' big pharma is behind a hidden merger,1
City council in Cairo approves budget for research center expansion,0
the national football team wins the qualifying round after a closely contested match,0
Stanford University releases annual report on tourism revenue,0
Scientists 'confirm' a full moon will destroy vaccines by 2030,1
BREAKING: doctors caught hiding a massive data breach from the public,1
Researchers at Stanford University publish peer-reviewed study on vaccines,0
City council in Riyadh approves budget for research center expansion,0
Researchers at MIT publish peer-reviewed study on artificial intelligence,0
Leaked memo 'proves' doctors is behind toxic waste dumping,1
Germany and neighboring country sign agreement on climate change,0
Kenya reports 21 percent change in literacy rates for the fiscal year,0
the local council opens new research center in Riyadh,0
the city basketball club wins the league final after a closely contested match,0
the Ministry of Health announces new policy on cryptocurrency,0
India reports 9 percent change in literacy rates for the fiscal year,0
Brazil reports 5 percent change in renewable energy output for Q2,0
Scientists 'confirm' drinking lemon water will destroy vaccines by 2030,1
Leaked memo 'proves' the government is behind a massive data breach,1
City council in Berlin approves budget for public library expansion,0
Kenya reports 7 percent change in literacy rates for the fiscal year,0
City council in Riyadh approves budget for metro line expansion,0
Scientists 'confirm' eating one banana a day will destroy the economy by 2035,1
Kenya reports 7 percent change in tourism revenue for Q1,0
SHOCKING: the eating one banana a day secret that big pharma don't want you to know,1
the World Bank releases annual report on exports,0
the local council opens new research center in Toronto,0
Kenya and neighboring country sign agreement on artificial intelligence,0
Researchers at MIT publish peer-reviewed study on climate change,0
Stanford University opens new recycling plant in Cairo,0
SHOCKING: the 5G towers secret that doctors don't want you to know,1
Experts 'warn' drinking lemon water could end vaccines as we know it,1
Canada and neighboring country sign agreement on the economy,0
BREAKING: the government caught hiding toxic waste dumping from the public,1
10 shocking facts about artificial intelligence that will blow your mind,1
Experts 'warn' eating one banana a day could end cryptocurrency as we know it,1
Researchers at the local council publish peer-reviewed study on the economy,0
Stanford University opens new research center in Riyadh,0
SHOCKING: the a secret government chip secret that the government don't want you to know,1
Researchers at Stanford University publish peer-reviewed study on the economy,0
You won't believe what a pop star did to vaccines last night,1
Researchers at the local council publish peer-reviewed study on climate change,0
Japan reports 9 percent change in exports for the fiscal year,0
BREAKING: the government caught hiding a secret lab from the public,1
Scientists 'confirm' a secret government chip will destroy space travel by 2027,1
the Ministry of Health announces new policy on space travel,0
Leaked memo 'proves' banks is behind a massive data breach,1
Leaked memo 'proves' airlines is behind insider trading,1
India and neighboring country sign agreement on cryptocurrency,0
9 shocking facts about cryptocurrency that will blow your mind,1
Scientists 'confirm' 5G towers will destroy climate change by 2028,1
You won't believe what a top athlete did to space travel last night,1
the World Bank announces new policy on space travel,0
You won't believe what a tech billionaire did to cryptocurrency last night,1
Experts 'warn' a full moon could end space travel as we know it,1
Experts 'warn' a full moon could end artificial intelligence as we know it,1
7 shocking facts about artificial intelligence that will blow your mind,1
Experts 'warn' a secret government chip could end vaccines as we know it,1
SHOCKING: the eating one banana a day secret that banks don't want you to know,1
Egypt and neighboring country sign agreement on climate change,0
Leaked memo 'proves' airlines is behind toxic waste dumping,1
Kenya and neighboring country sign agreement on space travel,0
Japan reports 9 percent change in tourism revenue for the fiscal year,0
Scientists 'confirm' a full moon will destroy climate change by 2028,1
Leaked memo 'proves' doctors is behind a secret lab,1
City council in Nairobi approves budget for metro line expansion,0
SHOCKING: the a secret government chip secret that doctors don't want you to know,1
Brazil reports 21 percent change in renewable energy output for Q1,0
You won't believe what a top athlete did to vaccines last night,1
Researchers at MIT publish peer-reviewed study on vaccines,0
You won't believe what a tech billionaire did to vaccines last night,1
the local council releases annual report on renewable energy output,0
the Ministry of Health opens new public library in Tokyo,0
Scientists 'confirm' a full moon will destroy artificial intelligence by 2028,1
Experts 'warn' a secret government chip could end artificial intelligence as we know it,1
MIT announces new policy on artificial intelligence,0
Researchers at the Ministry of Health publish peer-reviewed study on space travel,0
Researchers at MIT publish peer-reviewed study on space travel,0
Japan reports 21 percent change in tourism revenue for Q2,0
Stanford University opens new research center in Cairo,0
Leaked memo 'proves' the government is behind a hidden merger,1
7 shocking facts about space travel that will blow your mind,1
Egypt and neighboring country sign agreement on artificial intelligence,0
Researchers at the World Bank publish peer-reviewed study on space travel,0
Germany and neighboring country sign agreement on the economy,0
India reports 10 percent change in unemployment for Q2,0
Canada and neighboring country sign agreement on vaccines,0
the city basketball club wins the qualifying round after a closely contested match,0
Researchers at Stanford University publish peer-reviewed study on artificial intelligence,0
Canada reports 21 percent change in tourism revenue for Q1,0
Canada reports 5 percent change in tourism revenue for Q3,0
the Ministry of Health releases annual report on tourism revenue,0
City council in Cairo approves budget for metro line expansion,0
Japan reports 7 percent change in tourism revenue for the fiscal year,0
India and neighboring country sign agreement on the economy,0
Experts 'warn' 5G towers could end the economy as we know it,1
Canada reports 21 percent change in exports for Q2,0
Kenya reports 9 percent change in literacy rates for Q1,0
You won't believe what a famous actor did to artificial intelligence last night,1
"This one weird trick cures diabetes instantly, doctors hate it",1
India and neighboring country sign agreement on vaccines,0
Scientists 'confirm' a full moon will destroy space travel by 2035,1
Scientists 'confirm' 5G towers will destroy artificial intelligence by 2030,1
MIT releases annual report on renewable energy output,0
the Ministry of Health releases annual report on unemployment,0
Scientists 'confirm' a full moon will destroy space travel by 2030,1
BREAKING: airlines caught hiding a massive data breach from the public,1
the Ministry of Health announces new policy on the economy,0
You won't believe what a royal family member did to vaccines last night,1
the local council opens new research center in Nairobi,0
Scientists 'confirm' a secret government chip will destroy cryptocurrency by 2030,1
You won't believe what a top athlete did to the economy last night,1
Egypt and neighboring country sign agreement on cryptocurrency,0
BREAKING: banks caught hiding a secret lab from the public,1
Stanford University releases annual report on renewable energy output,0
Experts 'warn' a secret government chip could end the economy as we know it,1
Kenya reports 10 percent change in renewable energy output for Q2,0
SHOCKING: the 5G towers secret that banks don't want you to know,1
the Ministry of Health opens new public library in Riyadh,0
Egypt reports 5 percent change in unemployment for Q1,0
Scientists 'confirm' a secret government chip will destroy artificial intelligence by 2028,1
Brazil and neighboring country sign agreement on artificial intelligence,0
Researchers at the local council publish peer-reviewed study on artificial intelligence,0
BREAKING: banks caught hiding toxic waste dumping from the public,1
Stanford University announces new policy on the economy,0
Scientists 'confirm' drinking lemon water will destroy artificial intelligence by 2030,1
the World Bank releases annual report on literacy rates,0
Stanford University opens new public library in Berlin,0
10 shocking facts about cryptocurrency that will blow your mind,1
MIT announces new policy on cryptocurrency,0
Germany reports 9 percent change in tourism revenue for Q1,0
MIT releases annual report on tourism revenue,0
Experts 'warn' drinking lemon water could end cryptocurrency as we know it,1
Japan and neighboring country sign agreement on cryptocurrency,0
Leaked memo 'proves' banks is behind a hidden merger,1
the local council opens new children's hospital in Tokyo,0
5 shocking facts about artificial intelligence that will blow your mind,1
City council in Tokyo approves budget for research center expansion,0
MIT releases annual report on unemployment,0
the local council opens new public library in Tokyo,0
You won't believe what a pop star did to climate change last night,1
the university rowing team wins the qualifying round after a closely contested match,0
Scientists 'confirm' a full moon will destroy climate change by 2030,1
Egypt and neighboring country sign agreement on space travel,0
"This one weird trick cures hair loss instantly, doctors hate it",1
SHOCKING: the 5G towers secret that the government don't want you to know,1
Stanford University opens new children's hospital in Nairobi,0
You won't believe what a famous actor did to climate change last night,1
BREAKING: banks caught hiding a massive data breach from the public,1
Experts 'warn' 5G towers could end climate change as we know it,1
You won't believe what a famous actor did to the economy last night,1
Egypt reports 21 percent change in literacy rates for Q1,0
21 shocking facts about climate change that will blow your mind,1
10 shocking facts about space travel that will blow your mind,1
City council in Nairobi approves budget for public library expansion,0
the local council releases annual report on unemployment,0
Japan reports 5 percent change in tourism revenue for Q2,0
Japan and neighboring country sign agreement on space travel,0
Scientists 'confirm' drinking lemon water will destroy vaccines by 2027,1
Scientists 'confirm' eating one banana a day will destroy vaccines by 2030,1
"This one weird trick cures back pain instantly, doctors hate it",1
the university rowing team wins the regional championship after a closely contested match,0
7 shocking facts about climate change that will blow your mind,1
Stanford University opens new children's hospital in Riyadh,0
the local council releases annual report on tourism revenue,0
21 shocking facts about cryptocurrency that will blow your mind,1
9 shocking facts about climate change that will blow your mind,1
You won't believe what a famous actor did to vaccines last night,1
Scientists 'confirm' eating one banana a day will destroy space travel by 2028,1
BREAKING: doctors caught hiding a secret lab from the public,1
BREAKING: big pharma caught hiding a hidden merger from the public,1
"This one weird trick cures memory loss instantly, doctors hate it",1
Japan and neighboring country sign agreement on the economy,0
Leaked memo 'proves' banks is behind insider trading,1
You won't believe what a royal family member did to space travel last night,1
Leaked memo 'proves' airlines is behind a hidden merger,1
SHOCKING: the a full moon secret that airlines don't want you to know,1
Leaked memo 'proves' doctors is behind insider trading,1
Egypt reports 21 percent change in renewable energy output for Q3,0
Experts 'warn' drinking lemon water could end artificial intelligence as we know it,1
Germany reports 7 percent change in tourism revenue for Q3,0
the World Bank opens new recycling plant in Cairo,0
the local council opens new research center in Berlin,0
BREAKING: banks caught hiding insider trading from the public,1
Scientists 'confirm' a full moon will destroy artificial intelligence by 2027,1
the national football team wins the regional championship after a closely contested match,0
the World Bank releases annual report on unemployment,0
BREAKING: airlines caught hiding a hidden merger from the public,1
Researchers at the Ministry of Health publish peer-reviewed study on cryptocurrency,0
Scientists 'confirm' a full moon will destroy the economy by 2035,1
Scientists 'confirm' eating one banana a day will destroy the economy by 2028,1
the local council announces new policy on the economy,0
the local council releases annual report on exports,0
City council in Tokyo approves budget for recycling plant expansion,0
You won't believe what a tech billionaire did to space travel last night,1
Scientists 'confirm' eating one banana a day will destroy space travel by 2027,1
BREAKING: big pharma caught hiding a massive data breach from the public,1
Experts 'warn' drinking lemon water could end the economy as we know it,1
5 shocking facts about the economy that will blow your mind,1
Experts 'warn' eating one banana a day could end climate change as we know it,1
Leaked memo 'proves' banks is behind toxic waste dumping,1
Scientists 'confirm' a full moon will destroy space travel by 2027,1
You won't believe what a pop star did to cryptocurrency last night,1
Scientists 'confirm' drinking lemon water will destroy space travel by 2027,1
Canada reports 13 percent change in tourism revenue for Q2,0
Scientists 'confirm' drinking lemon water will destroy the economy by 2028,1
City council in Berlin approves budget for recycling plant expansion,0
the Ministry of Health opens new recycling plant in Riyadh,0
Researchers at Stanford University publish peer-reviewed study on climate change,0
Scientists 'confirm' a secret government chip will destroy vaccines by 2028,1
5 shocking facts about cryptocurrency that will blow your mind,1
Experts 'warn' eating one banana a day could end artificial intelligence as we know it,1
the World Bank opens new children's hospital in Riyadh,0
Scientists 'confirm' eating one banana a day will destroy climate change by 2035,1
10 shocking facts about vaccines that will blow your mind,1
You won't believe what a royal family member did to climate change last night,1
the World Bank opens new metro line in Berlin,0
Germany reports 13 percent change in renewable energy output for the fiscal year,0
the World Bank opens new metro line in Cairo,0
the local council opens new metro line in Nairobi,0
SHOCKING: the 5G towers secret that airlines don't want you to know,1
10 shocking facts about climate change that will blow your mind,1
Researchers at Stanford University publish peer-reviewed study on space travel,0
Canada reports 10 percent change in unemployment for Q3,0
MIT opens new research center in Berlin,0
the World Bank releases annual report on tourism revenue,0
the World Bank opens new public library in Riyadh,0
Scientists 'confirm' a secret government chip will destroy cryptocurrency by 2028,1
You won't believe what a famous actor did to space travel last night,1
India and neighboring country sign agreement on artificial intelligence,0
MIT opens new metro line in Cairo,0
Scientists 'confirm' drinking lemon water will destroy cryptocurrency by 2035,1
Scientists 'confirm' a full moon will destroy cryptocurrency by 2030,1
Stanford University releases annual report on exports,0
Scientists 'confirm' 5G towers will destroy space travel by 2027,1
SHOCKING: the a full moon secret that banks don't want you to know,1
Stanford University opens new research center in Toronto,0
Experts 'warn' 5G towers could end space travel as we know it,1
21 shocking facts about space travel that will blow your mind,1
Stanford University announces new policy on space travel,0
Experts 'warn' 5G towers could end artificial intelligence as we know it,1
City council in Cairo approves budget for recycling plant expansion,0
Canada reports 21 percent change in tourism revenue for Q2,0
Egypt reports 7 percent change in literacy rates for Q2,0
Researchers at the World Bank publish peer-reviewed study on vaccines,0
Kenya reports 7 percent change in renewable energy output for Q1,0
Experts 'warn' a secret government chip could end space travel as we know it,1
the Ministry of Health opens new research center in Nairobi,0
Researchers at the World Bank publish peer-reviewed study on climate change,0
You won't believe what a pop star did to the economy last night,1
BREAKING: big pharma caught hiding insider trading from the public,1
You won't believe what a top athlete did to cryptocurrency last night,1
City council in Tokyo approves budget for metro line expansion,0
Stanford University releases annual report on unemployment,0
13 shocking facts about vaccines that will blow your mind,1
City council in Berlin approves budget for children's hospital expansion,0
Stanford University announces new policy on artificial intelligence,0
Scientists 'confirm' drinking lemon water will destroy the economy by 2027,1
the Ministry of Health announces new policy on artificial intelligence,0
BREAKING: airlines caught hiding a secret lab from the public,1
the local council opens new recycling plant in Tokyo,0
Experts 'warn' eating one banana a day could end space travel as we know it,1
Japan reports 7 percent change in renewable energy output for the fiscal year,0
Scientists 'confirm' 5G towers will destroy artificial intelligence by 2028,1
Scientists 'confirm' 5G towers will destroy the economy by 2035,1
Experts 'warn' a full moon could end cryptocurrency as we know it,1
Researchers at the World Bank publish peer-reviewed study on artificial intelligence,0
You won't believe what a royal family member did to cryptocurrency last night,1
the local council announces new policy on vaccines,0
You won't believe what a top athlete did to artificial intelligence last night,1
You won't believe what a tech billionaire did to artificial intelligence last night,1
Scientists 'confirm' 5G towers will destroy space travel by 2030,1
SHOCKING: the a secret government chip secret that airlines don't want you to know,1
13 shocking facts about space travel that will blow your mind,1
Scientists 'confirm' a secret government chip will destroy the economy by 2028,1
Canada and neighboring country sign agreement on climate change,0
Experts 'warn' eating one banana a day could end vaccines as we know it,1
the World Bank opens new research center in Berlin,0
India reports 10 percent change in tourism revenue for Q2,0
BREAKING: doctors caught hiding insider trading from the public,1
Researchers at Stanford University publish peer-reviewed study on cryptocurrency,0
7 shocking facts about vaccines that will blow your mind,1
Japan reports 5 percent change in exports for the fiscal year,0
the local council announces new policy on space travel,0
Stanford University opens new recycling plant in Toronto,0
You won't believe what a tech billionaire did to the economy last night,1
Canada and neighboring country sign agreement on artificial intelligence,0
BREAKING: banks caught hiding a hidden merger from the public,1
Brazil reports 9 percent change in literacy rates for Q3,0
Stanford University announces new policy on climate change,0
the local council releases annual report on literacy rates,0
Leaked memo 'proves' airlines is behind a secret lab,1
City council in Toronto approves budget for children's hospital expansion,0
India reports 5 percent change in tourism revenue for the fiscal year,0
BREAKING: the government caught hiding a hidden merger from the public,1
the Ministry of Health announces new policy on vaccines,0
BREAKING: airlines caught hiding toxic waste dumping from the public,1
Leaked memo 'proves' airlines is behind a massive data breach,1
SHOCKING: the eating one banana a day secret that doctors don't want you to know,1
21 shocking facts about the economy that will blow your mind,1
SHOCKING: the drinking lemon water secret that airlines don't want you to know,1
"This one weird trick cures insomnia instantly, doctors hate it",1
21 shocking facts about vaccines that will blow your mind,1
Kenya and neighboring country sign agreement on cryptocurrency,0
SHOCKING: the a full moon secret that the government don't want you to know,1
Scientists 'confirm' drinking lemon water will destroy climate change by 2035,1
Japan reports 10 percent change in renewable energy output for Q1,0
